Microzone,Name,Avg_price [€/mq],Std_dev  [€/mq]
1,Roma,5545,642
2,Carlo Emanuele II,3620,713
3,Solferino,3557,809
4,Vinzaglio,3001,443
5,Garibaldi,2647,623
6,Castello,3541,513
7,Vanchiglia,2625,686
8,Rocca,3376,490
9,Valentino,2557,483
10,San Salvario,2070,371
11,Dante,2248,322
12,San Secondo,2458,437
13,Stati Uniti,3041,225
14,Gallileo Ferraris,2667,381
15,De Gasperi,2538,512
16,Duca D’Aosta,4469,73
17,Spina 2 – Politecnico,2726,218
18,Duchessa Jolanda,2455,586
19,San Donato,1417,435
20,Porta Palazzo,1835,556
21,Palermo,1227,341
22,Michelotti,2151,464
23,Crimea,3234,473
24,Collina,2410,537
25,Zara,2046,685
26,Carducci,1390,166
27,Unità D’Italia,1808,489
28,Lingotto,1393,395
29,Santa Rita – Mirafiori,1686,296
30,Mirafiori Sud,1501,347
31,San Paolo,1707,289
32,Pozzo Strada,1904,393
33,Aereonautica / Parella,1562,198
34,Spina 3 – Eurotorino,1412,410
35,Madonna di Campagna,1241,256
36,Spina 4 – Docks Dora,1156,333
37,Rebaudengo,1070,338
38,Corona Nord Ovest,1233,240
39,Spina 1 – Marmolada,2891,251
40,Barca Bertolla,1440,481
